Project	Disease Type	Primary Site	# SSM Affected Cases	# CNV Gains	# CNV Losses	# Mutations
TCGA-GBM	Gliomas,Not Reported	Brain	82 / 374 (21.93 %)	381 / 589 (64.69 %)	7 / 589 (1.19 %)	51
TCGA-LUAD	Acinar Cell Neoplasms,Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms	Bronchus and lung	78 / 559 (13.95 %)	254 / 518 (49.03 %)	34 / 518 (6.56 %)	44
TCGA-SKCM	Nevi and Melanomas	Skin	51 / 470 (10.85 %)	215 / 470 (45.74 %)	20 / 470 (4.26 %)	69
CPTAC-3	Adenomas and Adenocarcinomas,Complex Epithelial Neoplasms,Complex Mixed and Stromal Neoplasms,Ductal and Lobular Neoplasms,Epithelial Neoplasms, NOS,Gliomas,Lipomatous Neoplasms,Nevi and Melanomas,Not Applicable,Squamous Cell Neoplasms,Transitional Cell Papillomas and Carcinomas	Brain,Breast,Bronchus and lung,Colon,Kidney,Other and ill-defined sites,Other and unspecified urinary organs,Pancreas,Unknown,Uterus, NOS	142 / 1317 (10.78 %)	417 / 1290 (32.33 %)	19 / 1290 (1.47 %)	89
EXCEPTIONAL_RESPONDERS-ER	Adenomas and Adenocarcinomas,Complex Mixed and Stromal Neoplasms,Ductal and Lobular Neoplasms,Epithelial Neoplasms, NOS,Gliomas,Myomatous Neoplasms,Neoplasms, NOS,Nevi and Melanomas,Squamous Cell Neoplasms	Anus and anal canal,Bladder,Brain,Breast,Bronchus and lung,Colon,Connective, subcutaneous and other soft tissues,Esophagus,Kidney,Other and ill-defined digestive organs,Other and ill-defined sites,Other and unspecified female genital organs,Other and unspecified parts of biliary tract,Ovary,Pancreas,Rectum,Skin,Stomach,Unknown,Uterus, NOS	2 / 19 (10.53 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	3
CMI-ASC	Soft Tissue Tumors and Sarcomas, NOS	Bladder,Breast,Bronchus and lung,Heart, mediastinum, and pleura,Lymph nodes,Other and ill-defined digestive organs,Other and ill-defined sites,Other and ill-defined sites within respiratory system and intrathoracic organs,Skin	3 / 36 (8.33 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	3
TCGA-UCEC	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms,Epithelial Neoplasms, NOS,Not Reported	Corpus uteri,Uterus, NOS	41 / 512 (8.01 %)	66 / 544 (12.13 %)	30 / 544 (5.51 %)	68
HCMI-CMDC	Acinar Cell Neoplasms,Adenomas and Adenocarcinomas,Blood Vessel Tumors,Complex Epithelial Neoplasms,Complex Mixed and Stromal Neoplasms,Cystic, Mucinous and Serous Neoplasms,Ductal and Lobular Neoplasms,Epithelial Neoplasms, NOS,Fibromatous Neoplasms,Gliomas,Miscellaneous Bone Tumors,Myomatous Neoplasms,Nevi and Melanomas,Osseous and Chondromatous Neoplasms,Soft Tissue Tumors and Sarcomas, NOS,Squamous Cell Neoplasms	Bones, joints and articular cartilage of other and unspecified sites,Brain,Breast,Bronchus and lung,Colon,Connective, subcutaneous and other soft tissues,Corpus uteri,Esophagus,Gallbladder,Kidney,Liver and intrahepatic bile ducts,Nasal cavity and middle ear,Other and ill-defined sites,Other and unspecified parts of biliary tract,Other and unspecified parts of mouth,Other and unspecified parts of tongue,Ovary,Pancreas,Rectosigmoid junction,Rectum,Skin,Small intestine,Stomach,Uterus, NOS	21 / 274 (7.66 %)	128 / 268 (47.76 %)	6 / 268 (2.24 %)	23
TCGA-LGG	Gliomas	Brain	31 / 513 (6.04 %)	96 / 515 (18.64 %)	0 / 515 (0.00 %)	22
CDDP_EAGLE-1	Adenomas and Adenocarcinomas	Bronchus and lung	3 / 50 (6.00 %)	20 / 44 (45.45 %)	1 / 44 (2.27 %)	4
TCGA-STAD	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms	Stomach	23 / 434 (5.30 %)	184 / 442 (41.63 %)	8 / 442 (1.81 %)	23
TCGA-DLBC	Mature B-Cell Lymphomas,Not Reported	Bones, joints and articular cartilage of other and unspecified sites,Brain,Breast,Colon,Connective, subcutaneous and other soft tissues,Heart, mediastinum, and pleura,Hematopoietic and reticuloendothelial systems,Lymph nodes,Other and unspecified major salivary glands,Retroperitoneum and peritoneum,Small intestine,Stomach,Testis,Thyroid gland	2 / 47 (4.26 %)	14 / 48 (29.17 %)	2 / 48 (4.17 %)	2
TCGA-CESC	Adenomas and Adenocarcinomas,Complex Epithelial Neoplasms,Cystic, Mucinous and Serous Neoplasms,Squamous Cell Neoplasms	Cervix uteri	12 / 287 (4.18 %)	42 / 302 (13.91 %)	11 / 302 (3.64 %)	13
TCGA-COAD	Adenomas and Adenocarcinomas,Complex Epithelial Neoplasms,Cystic, Mucinous and Serous Neoplasms,Epithelial Neoplasms, NOS	Colon,Rectosigmoid junction	16 / 428 (3.74 %)	245 / 459 (53.38 %)	1 / 459 (0.22 %)	19
TCGA-HNSC	Squamous Cell Neoplasms	Base of tongue,Bones, joints and articular cartilage of other and unspecified sites,Floor of mouth,Gum,Hypopharynx,Larynx,Lip,Oropharynx,Other and ill-defined sites in lip, oral cavity and pharynx,Other and unspecified parts of mouth,Other and unspecified parts of tongue,Palate,Tonsil	17 / 509 (3.34 %)	182 / 525 (34.67 %)	13 / 525 (2.48 %)	17
TCGA-ESCA	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms,Squamous Cell Neoplasms	Esophagus,Stomach	6 / 184 (3.26 %)	95 / 185 (51.35 %)	7 / 185 (3.78 %)	6
TCGA-LUSC	Squamous Cell Neoplasms	Bronchus and lung	15 / 490 (3.06 %)	199 / 504 (39.48 %)	36 / 504 (7.14 %)	15
