Project	Disease Type	Primary Site	# SSM Affected Cases	# CNV Gains	# CNV Losses	# Mutations
CDDP_EAGLE-1	Adenomas and Adenocarcinomas	Bronchus and lung	8 / 50 (16.00 %)	13 / 44 (29.55 %)	3 / 44 (6.82 %)	9
TCGA-SKCM	Nevi and Melanomas	Skin	74 / 470 (15.74 %)	46 / 470 (9.79 %)	89 / 470 (18.94 %)	98
TCGA-UCEC	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms,Epithelial Neoplasms, NOS,Not Reported	Corpus uteri,Uterus, NOS	79 / 512 (15.43 %)	30 / 544 (5.51 %)	87 / 544 (15.99 %)	160
CMI-ASC	Soft Tissue Tumors and Sarcomas, NOS	Bladder,Breast,Bronchus and lung,Heart, mediastinum, and pleura,Lymph nodes,Other and ill-defined digestive organs,Other and ill-defined sites,Other and ill-defined sites within respiratory system and intrathoracic organs,Skin	5 / 36 (13.89 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	5
TCGA-LUSC	Squamous Cell Neoplasms	Bronchus and lung	57 / 490 (11.63 %)	129 / 504 (25.60 %)	99 / 504 (19.64 %)	61
TCGA-LUAD	Acinar Cell Neoplasms,Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms	Bronchus and lung	61 / 559 (10.91 %)	156 / 518 (30.12 %)	56 / 518 (10.81 %)	71
TCGA-GBM	Gliomas,Not Reported	Brain	40 / 374 (10.70 %)	12 / 589 (2.04 %)	50 / 589 (8.49 %)	58
EXCEPTIONAL_RESPONDERS-ER	Adenomas and Adenocarcinomas,Complex Mixed and Stromal Neoplasms,Ductal and Lobular Neoplasms,Epithelial Neoplasms, NOS,Gliomas,Myomatous Neoplasms,Neoplasms, NOS,Nevi and Melanomas,Squamous Cell Neoplasms	Anus and anal canal,Bladder,Brain,Breast,Bronchus and lung,Colon,Connective, subcutaneous and other soft tissues,Esophagus,Kidney,Other and ill-defined digestive organs,Other and ill-defined sites,Other and unspecified female genital organs,Other and unspecified parts of biliary tract,Ovary,Pancreas,Rectum,Skin,Stomach,Unknown,Uterus, NOS	2 / 19 (10.53 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	3
TCGA-PCPG	Paragangliomas and Glomus Tumors	Adrenal gland,Connective, subcutaneous and other soft tissues,Heart, mediastinum, and pleura,Other and ill-defined sites,Other endocrine glands and related structures,Retroperitoneum and peritoneum,Spinal cord, cranial nerves, and other parts of central nervous system	17 / 179 (9.50 %)	2 / 178 (1.12 %)	44 / 178 (24.72 %)	18
CPTAC-3	Adenomas and Adenocarcinomas,Complex Epithelial Neoplasms,Complex Mixed and Stromal Neoplasms,Ductal and Lobular Neoplasms,Epithelial Neoplasms, NOS,Gliomas,Lipomatous Neoplasms,Nevi and Melanomas,Not Applicable,Squamous Cell Neoplasms,Transitional Cell Papillomas and Carcinomas	Brain,Breast,Bronchus and lung,Colon,Kidney,Other and ill-defined sites,Other and unspecified urinary organs,Pancreas,Unknown,Uterus, NOS	117 / 1317 (8.88 %)	122 / 1290 (9.46 %)	83 / 1290 (6.43 %)	158
