Project	Disease Type	Primary Site	# SSM Affected Cases	# CNV Gains	# CNV Losses	# Mutations
TCGA-OV	Cystic, Mucinous and Serous Neoplasms,Not Reported	Ovary	367 / 419 (87.59 %)	49 / 578 (8.48 %)	333 / 578 (57.61 %)	231
TCGA-UCS	Complex Mixed and Stromal Neoplasms	Uterus, NOS	49 / 57 (85.96 %)	4 / 56 (7.14 %)	31 / 56 (55.36 %)	44
TCGA-ESCA	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms,Squamous Cell Neoplasms	Esophagus,Stomach	155 / 184 (84.24 %)	21 / 185 (11.35 %)	66 / 185 (35.68 %)	117
TCGA-LUSC	Squamous Cell Neoplasms	Bronchus and lung	406 / 490 (82.86 %)	51 / 504 (10.12 %)	248 / 504 (49.21 %)	269
TCGA-READ	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms	Colon,Connective, subcutaneous and other soft tissues,Rectosigmoid junction,Rectum,Unknown	111 / 155 (71.61 %)	2 / 167 (1.20 %)	106 / 167 (63.47 %)	70
TCGA-HNSC	Squamous Cell Neoplasms	Base of tongue,Bones, joints and articular cartilage of other and unspecified sites,Floor of mouth,Gum,Hypopharynx,Larynx,Lip,Oropharynx,Other and ill-defined sites in lip, oral cavity and pharynx,Other and unspecified parts of mouth,Other and unspecified parts of tongue,Palate,Tonsil	357 / 509 (70.14 %)	55 / 525 (10.48 %)	119 / 525 (22.67 %)	268
EXCEPTIONAL_RESPONDERS-ER	Adenomas and Adenocarcinomas,Complex Mixed and Stromal Neoplasms,Ductal and Lobular Neoplasms,Epithelial Neoplasms, NOS,Gliomas,Myomatous Neoplasms,Neoplasms, NOS,Nevi and Melanomas,Squamous Cell Neoplasms	Anus and anal canal,Bladder,Brain,Breast,Bronchus and lung,Colon,Connective, subcutaneous and other soft tissues,Esophagus,Kidney,Other and ill-defined digestive organs,Other and ill-defined sites,Other and unspecified female genital organs,Other and unspecified parts of biliary tract,Ovary,Pancreas,Rectum,Skin,Stomach,Unknown,Uterus, NOS	12 / 19 (63.16 %)	0 / 0 (0.00 %)	0 / 0 (0.00 %)	14
HCMI-CMDC	Acinar Cell Neoplasms,Adenomas and Adenocarcinomas,Blood Vessel Tumors,Complex Epithelial Neoplasms,Complex Mixed and Stromal Neoplasms,Cystic, Mucinous and Serous Neoplasms,Ductal and Lobular Neoplasms,Epithelial Neoplasms, NOS,Fibromatous Neoplasms,Gliomas,Miscellaneous Bone Tumors,Myomatous Neoplasms,Nevi and Melanomas,Osseous and Chondromatous Neoplasms,Soft Tissue Tumors and Sarcomas, NOS,Squamous Cell Neoplasms	Bones, joints and articular cartilage of other and unspecified sites,Brain,Breast,Bronchus and lung,Colon,Connective, subcutaneous and other soft tissues,Corpus uteri,Esophagus,Gallbladder,Kidney,Liver and intrahepatic bile ducts,Nasal cavity and middle ear,Other and ill-defined sites,Other and unspecified parts of biliary tract,Other and unspecified parts of mouth,Other and unspecified parts of tongue,Ovary,Pancreas,Rectosigmoid junction,Rectum,Skin,Small intestine,Stomach,Uterus, NOS	168 / 274 (61.31 %)	12 / 268 (4.48 %)	106 / 268 (39.55 %)	105
TCGA-COAD	Adenomas and Adenocarcinomas,Complex Epithelial Neoplasms,Cystic, Mucinous and Serous Neoplasms,Epithelial Neoplasms, NOS	Colon,Rectosigmoid junction	237 / 428 (55.37 %)	9 / 459 (1.96 %)	229 / 459 (49.89 %)	140
TCGA-PAAD	Adenomas and Adenocarcinomas,Cystic, Mucinous and Serous Neoplasms,Ductal and Lobular Neoplasms,Epithelial Neoplasms, NOS	Pancreas	99 / 179 (55.31 %)	9 / 185 (4.86 %)	97 / 185 (52.43 %)	79
